ID,Year_of_Birth,Education_Level,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Date_Customer,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Response
ID_4A9AR6FQ,1955,Graduation,Divorced,77504.4,1,1,22-06-2014,56,2,1,1,4,71,3,16,0,6,20,3,0,0,0,0,0,0,0
ID_X28T3VEK,1958,Graduation,Together,56784.0,0,1,01-08-2013,17,6,5,1,8,205,22,111,50,15,19,6,0,0,0,0,0,0,0
ID_AWXARH57,1962,Graduation,Single,103714.8,0,0,21-11-2013,17,0,7,4,7,469,31,873,29,18,37,2,0,0,0,1,0,0,1
ID_FQVZHE81,1979,2n Cycle,Single,46311.6,1,0,13-09-2013,49,3,4,1,3,56,15,49,17,24,24,8,0,0,0,0,0,0,0
ID_QVLWGPRN,1959,Graduation,Married,87486.0,0,0,21-01-2014,59,1,3,7,9,412,117,445,181,165,203,1,0,0,0,1,0,0,0
ID_3S3HRGH6,1960,Master,Married,41090.4,0,1,23-03-2014,32,1,0,0,3,13,5,4,0,0,1,5,0,0,0,0,0,0,0
ID_KJQ9B2LE,1953,Graduation,Single,86673.59999999999,0,0,27-11-2012,94,1,6,7,8,636,31,491,30,14,56,3,0,0,0,0,0,0,0
ID_6O0NBZXD,1974,Graduation,Together,88711.2,0,0,02-03-2013,61,1,6,5,12,632,94,597,159,91,15,3,0,0,0,0,0,0,0
ID_M3QFT8WO,1966,Graduation,Together,35606.4,1,1,12-03-2013,13,1,0,0,3,14,4,3,0,4,8,6,0,0,0,0,0,0,0
ID_745JV5PY,1975,Graduation,Married,41305.2,1,0,01-07-2013,88,1,1,0,2,8,6,7,6,2,9,7,0,0,0,0,0,0,0
ID_PTC313AB,1974,Graduation,Married,31473.6,1,0,22-09-2013,57,1,1,0,2,7,9,4,3,1,9,8,0,0,0,0,0,0,0
ID_8QLN8M49,1989,Graduation,Single,82386.0,0,0,10-08-2012,102,1,4,5,11,461,22,832,75,118,38,3,0,0,0,0,0,0,0
ID_EV90FGQR,1955,Graduation,Married,56080.8,0,1,18-11-2012,47,2,6,1,5,115,8,137,26,23,29,7,0,0,0,0,0,0,0
ID_9DHJ0G4Y,1956,Graduation,Together,51103.2,1,1,29-10-2012,14,5,4,1,6,199,5,56,0,0,0,8,0,0,0,0,0,0,1
ID_LE15WJ3W,1976,2n Cycle,Single,49989.6,1,1,09-11-2012,37,2,1,1,2,13,7,12,15,4,29,4,0,0,0,0,0,0,0
ID_DPSZTEYW,1958,Graduation,Together,31309.2,1,1,25-02-2014,91,3,2,1,3,20,13,19,8,17,20,5,0,0,0,0,0,0,0
ID_GHZ15BJS,1970,Graduation,Single,65763.59999999999,0,1,21-08-2012,72,2,6,2,9,409,3,92,28,27,142,4,0,0,0,0,0,0,0
ID_H8O80C53,1965,Master,Single,76766.4,0,1,02-12-2012,100,4,5,4,10,933,66,254,0,12,12,4,0,1,0,0,0,0,0
ID_TAZVY8ZL,1977,Graduation,Married,47227.2,1,1,19-03-2014,28,1,1,0,2,20,3,2,0,0,6,6,1,0,0,0,0,0,0
ID_1WLYQEA5,1959,2n Cycle,Single,102582.0,0,0,21-06-2014,80,1,6,6,6,635,29,611,44,18,54,2,0,0,0,0,0,0,0
ID_C1AB9042,1977,Master,Together,36672.0,1,0,27-06-2013,13,1,1,0,3,14,4,5,4,5,7,7,0,0,0,0,0,0,0
ID_K34APAUK,1953,PhD,Married,93132.0,0,1,29-10-2012,77,2,4,7,4,1250,36,332,21,33,16,7,0,0,0,0,0,0,0
ID_KPF4D1OB,1952,Master,Married,32940.0,0,0,15-04-2013,64,1,2,1,3,42,15,23,8,11,52,7,0,0,0,0,0,0,0
ID_HU6E5YAL,1981,2n Cycle,Single,38230.8,1,0,27-02-2014,10,1,1,0,3,8,7,7,15,8,11,7,0,0,0,0,0,0,0
ID_SGKVTMH4,1951,PhD,Married,58438.8,1,1,21-05-2013,97,1,1,0,3,31,4,10,2,0,1,5,0,0,0,0,0,0,0
ID_J0O37T0U,1995,Graduation,Together,96822.0,0,0,22-08-2012,62,1,6,4,10,246,48,604,34,26,54,2,0,0,0,0,0,0,0
ID_6YMJ7AN7,1960,2n Cycle,Divorced,70862.4,0,1,17-11-2013,36,3,7,1,7,235,38,75,63,57,31,5,0,0,0,0,0,0,0
ID_T6LOGK8R,1977,PhD,Divorced,84214.8,0,1,21-07-2013,17,3,7,3,13,537,91,168,69,44,133,5,0,0,0,0,0,0,0
ID_OESJWTPR,1970,Master,Together,43108.8,1,1,23-03-2014,63,1,1,0,3,13,3,14,2,3,7,5,0,0,0,0,0,0,0
ID_RGVFG1EN,1973,Graduation,Married,71599.2,1,1,22-03-2013,94,7,3,2,8,628,56,178,23,17,133,8,0,1,0,0,0,0,0
ID_X47OTUED,1955,PhD,Single,109119.6,0,0,31-03-2014,97,1,4,6,4,1025,34,430,62,63,79,1,0,0,1,0,0,0,0
ID_YKQ7AL4N,1952,Graduation,Married,36999.6,1,1,16-07-2013,40,2,1,0,3,16,3,7,3,1,6,5,0,0,0,0,0,0,0
ID_ICG5KR8H,1972,PhD,Married,72702.0,1,1,24-06-2013,24,10,7,4,9,272,45,309,55,42,21,5,0,0,0,0,0,0,1
ID_T7FQP6S3,1971,Graduation,Married,27574.8,1,0,06-09-2012,36,3,3,2,2,21,20,19,20,21,22,8,0,0,0,0,0,0,1
ID_FAV5PP5Z,1958,2n Cycle,Divorced,92756.4,0,0,26-01-2013,91,1,5,7,9,413,64,109,48,122,41,4,0,0,0,1,0,0,0
ID_8VJG5TBS,1972,Graduation,Divorced,2076.0,0,0,18-05-2014,72,15,0,0,0,6,4,3,1,1,1,20,0,0,0,0,0,0,0
ID_Q52WTI6A,1956,Master,Married,46142.4,1,1,30-03-2014,69,3,3,0,3,61,3,14,0,0,2,7,0,0,0,0,0,0,0
ID_YNYRM221,1951,PhD,Together,71150.4,0,1,13-06-2013,78,2,3,5,8,383,17,68,19,14,14,3,0,0,0,0,0,0,0
ID_ZLYCGCZ5,1988,Graduation,Single,28130.4,1,0,24-12-2012,78,1,1,0,3,7,3,6,8,6,5,7,0,0,0,0,0,0,0
ID_1BDDC5WG,1984,Graduation,Together,47343.6,1,0,03-04-2014,71,2,2,0,3,51,3,7,0,0,2,6,0,0,0,0,0,0,0
ID_RO2CIM7U,1984,Graduation,Married,47906.4,1,0,14-02-2013,37,2,3,0,4,34,15,59,19,1,36,8,0,0,0,0,0,0,0
ID_MXXPLR9U,1976,Graduation,Together,71377.2,0,1,23-10-2013,54,2,3,3,8,183,6,85,71,66,58,2,0,0,0,0,0,0,0
ID_X6P01BV8,1953,Master,Married,40132.8,1,1,03-11-2012,31,1,1,0,2,13,3,8,0,0,2,8,0,0,0,0,0,0,0
ID_4BDZ4JL1,1981,Graduation,Married,98996.4,0,0,31-10-2012,39,1,2,7,9,782,132,573,216,21,203,4,0,0,1,0,0,0,0
