ProductID,ProductCategory,ProductBrand,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent
5874,Smartphones,Other Brands,312.94966810515353,18,0,2,1,0
5875,Smart Watches,Samsung,980.3894043187454,35,1,7,2,1
5876,Tablets,Samsung,2606.718292835622,63,0,1,5,1
5877,Smartphones,Samsung,870.3954502496597,63,1,10,3,1
5878,Tablets,Sony,1798.9558746776083,57,0,17,3,0
5879,Smartphones,Samsung,373.1483247868712,37,1,8,1,1
5880,Smartphones,Samsung,2330.036775244811,26,1,5,5,1
5881,Smartphones,HP,780.1014938488929,35,0,12,5,1
5882,Laptops,Other Brands,2264.5615834054943,19,1,3,4,1
5883,Laptops,HP,1001.6240058234738,66,1,8,4,1
5884,Smartphones,Other Brands,879.1223675529482,20,1,1,3,0
5885,Laptops,Apple,1563.857731658311,38,1,14,2,1
5886,Tablets,Samsung,1297.3669317328886,48,0,1,3,0
5887,Headphones,Sony,1756.8383091267897,62,0,2,5,1
5888,Headphones,Apple,2486.693286619063,54,0,12,4,1
5889,Tablets,HP,1280.4560806972363,33,0,1,2,0
5890,Tablets,Samsung,2388.495395185978,29,1,3,4,1
5891,Smartphones,Apple,420.7798214919339,26,0,16,1,0
5892,Tablets,Apple,1224.1746781069862,28,0,4,5,0
5893,Smart Watches,Samsung,2441.4327370561437,43,0,5,5,1
5894,Smartphones,Other Brands,1073.0660159873928,58,0,4,3,0
5895,Headphones,HP,2815.031730919124,34,0,12,2,0
5896,Laptops,HP,206.6678154064927,65,0,18,4,1
5897,Headphones,HP,374.52638381129236,67,1,7,5,1
5898,Headphones,Other Brands,835.6847452912937,23,0,17,2,0
5899,Laptops,HP,887.2720459258376,61,1,10,1,1
5900,Tablets,Samsung,2158.442394780764,58,1,12,4,1
5901,Smartphones,Apple,1581.9731763039106,64,0,5,5,1
5902,Smart Watches,HP,2096.8888459460813,37,0,18,1,0
5903,Headphones,Apple,2106.7327650499637,55,0,15,5,1
5904,Smartphones,Other Brands,2697.271509962217,56,1,10,2,1
5905,Tablets,HP,1342.5833893635875,28,1,17,4,1
5906,Tablets,Other Brands,2633.699012968075,42,0,2,2,0
5907,Smartphones,Apple,958.3976167280938,57,1,2,2,1
5908,Smartphones,Apple,2417.0329199644775,39,1,9,4,1
5909,Smartphones,HP,1678.2869837094277,50,0,14,5,1
5910,Headphones,Other Brands,2522.5280253448286,52,1,14,5,1
5911,Tablets,Other Brands,1440.0111227950943,50,1,1,2,1
5912,Laptops,Samsung,322.67334163205305,40,0,7,3,0
5913,Smart Watches,Samsung,688.2640303377825,41,0,10,2,0
5914,Smart Watches,HP,947.0584631657031,29,1,18,2,0
5915,Smart Watches,HP,2265.9182058536057,65,1,19,2,1
5916,Tablets,Other Brands,1951.991750219611,30,1,2,1,0
5917,Headphones,HP,2303.116596130776,47,1,4,3,1
5918,Smart Watches,Apple,2618.423157158488,60,1,18,5,1
5919,Smartphones,Samsung,660.132983195642,29,1,9,1,0
5920,Tablets,Sony,1568.823404515806,41,1,17,3,1
5921,Laptops,Samsung,2164.422876906346,21,0,16,3,0
5922,Smart Watches,Sony,364.19049763848017,33,1,17,4,1
5923,Smartphones,Apple,1513.5041070427055,49,1,1,5,1
5924,Laptops,Samsung,1172.248335400585,57,0,9,2,0
5925,Tablets,Other Brands,1012.1081059199164,26,0,18,5,0
5926,Smart Watches,Sony,1283.7024652961493,21,1,4,4,1
5927,Smartphones,HP,2828.711372651023,19,1,12,2,0
5928,Smartphones,HP,202.46539779332682,18,0,1,5,0
5929,Smart Watches,Samsung,551.4949064847992,27,1,5,4,1
5930,Smart Watches,Samsung,2674.5475999615637,51,0,19,2,0
5931,Laptops,Other Brands,803.5864283952769,25,0,6,5,0
5932,Tablets,Sony,2721.57863227861,25,1,15,3,0
5933,Tablets,Apple,468.4546849683096,69,0,2,3,0
5934,Headphones,Other Brands,1836.615958725286,67,0,10,2,0
5935,Smart Watches,Sony,1659.246074043603,44,1,17,5,1
5936,Tablets,Other Brands,2093.9952113395857,69,0,11,3,0
5937,Laptops,Apple,585.7831178887856,33,1,11,4,1
5938,Smartphones,Other Brands,2724.6530347420517,67,0,3,1,0
5939,Smart Watches,Apple,1360.8525588751738,37,0,17,5,1
5940,Smartphones,HP,2956.233181351217,24,0,9,5,0
5941,Tablets,Apple,750.9570883233584,23,0,17,5,0
5942,Smart Watches,Other Brands,2130.7860102308196,28,0,19,2,0
5943,Smart Watches,Sony,385.29802215306364,22,1,7,4,1
5944,Smart Watches,Sony,2865.4575424544582,61,0,19,5,1
5945,Smart Watches,Samsung,1975.582755196506,19,1,4,1,0
5946,Headphones,HP,2559.972025462975,67,1,16,5,1
5947,Smart Watches,Other Brands,1613.4590505446263,25,1,2,2,0
5948,Tablets,Samsung,1500.030111824888,62,0,3,3,0
5949,Smartphones,Other Brands,1969.6545621764626,35,0,10,1,0
5950,Tablets,Other Brands,262.1532767012959,41,1,18,4,1
5951,Tablets,Other Brands,1797.2982467754682,33,0,1,4,1
5952,Smartphones,Sony,789.3074817382742,42,1,16,4,1
5953,Smartphones,Apple,826.6047852365798,26,0,14,5,0
5954,Headphones,Apple,2351.62742300165,53,0,12,4,1
5955,Smart Watches,Sony,1227.804031228086,51,0,18,1,0
5956,Smart Watches,Sony,124.8272897450507,68,1,3,3,1
5957,Tablets,HP,1111.6083652815587,53,0,6,3,0
5958,Smartphones,Samsung,2647.021562406322,60,0,5,2,0
5959,Tablets,Sony,1351.257829183865,67,1,13,1,1
5960,Laptops,Apple,233.6745297715764,69,0,7,1,0
5961,Tablets,Apple,1191.1999374916875,68,0,11,5,1
5962,Headphones,Samsung,2487.8792930551213,57,1,17,2,1
5963,Headphones,Sony,1261.535157368096,65,1,10,5,1
5964,Laptops,Apple,109.28990807512898,37,1,14,4,1
5965,Headphones,Samsung,2506.175754907102,55,1,15,4,1
5966,Smart Watches,Samsung,2679.3341228366403,64,0,13,1,0
5967,Tablets,HP,1237.469184528068,48,0,3,2,0
5968,Smart Watches,HP,2679.3034245803124,25,1,14,4,1
5969,Smartphones,Apple,409.9001007860951,46,0,19,1,0
5970,Headphones,Apple,1505.0060063198766,27,1,14,2,0
5971,Smart Watches,Sony,223.06840256621987,55,0,13,5,1
5972,Smart Watches,Apple,1374.365141788454,48,1,11,4,1
5973,Headphones,Samsung,1505.999434916964,53,1,12,3,1
5974,Headphones,Other Brands,1678.637668454201,30,1,16,3,0
5975,Headphones,Other Brands,224.4303474526278,51,0,13,2,0
5976,Headphones,Samsung,2509.9505692922,50,0,18,3,0
5977,Laptops,Samsung,1186.2486718027963,47,1,5,5,1
5978,Smart Watches,Apple,2866.7931990800776,69,1,3,2,1
5979,Headphones,HP,2761.429390181537,45,0,11,4,1
5980,Laptops,HP,2335.0390105651386,53,0,1,3,0
5981,Smart Watches,Sony,1531.7353152746998,64,1,9,3,1
5982,Laptops,Other Brands,2315.520847632006,25,0,12,2,0
5983,Tablets,Other Brands,2775.551511545713,56,1,15,4,1
5984,Headphones,HP,853.2988944490827,58,1,18,5,1
5985,Laptops,Sony,576.7247113478368,28,1,5,5,1
5986,Headphones,Other Brands,492.36298431923336,42,1,17,4,1
5987,Smart Watches,Other Brands,2403.957553340061,65,0,4,2,0
5988,Smartphones,Sony,2709.9467523392004,63,0,17,4,1
5989,Headphones,Samsung,1966.8083835418656,45,0,15,1,0
5990,Laptops,Sony,1950.151112343442,30,0,19,2,0
5991,Smart Watches,Apple,2765.7383053925237,56,1,8,2,1
